country,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,,,,37.2,44,47.6,38.3,37.8,35.7,31.3,39.8,42.2,26.6,26.9,25.7
Angola,,,,,,,55.9,43.6,39.4,37.9,,,,,
Albania,,,46.3,,54.9,52.7,58.7,55.1,45.5,48.1,46.1,45.1,46.4,50,48.8
United Arab Emirates,,67.3,,,68.7,71,71.2,72.2,66.2,65.4,65.7,68.3,70.4,66,67.9
Argentina,,63.1,60.7,59.6,64.2,64.4,67.8,64.7,65.8,66.7,67,64.3,60.4,57.9,59.7
Armenia,,42.9,48.8,46.5,41.8,43.7,42.6,43.2,42.8,44.5,43.5,43.3,42.9,50.6,46.8
Australia,73.4,,72.9,72.5,,74.5,74.1,72,73.6,72.9,73.1,72.5,72.6,71.8,72.2
Austria,,71.2,,71.8,,73,74.7,74,75,69.5,70.8,70.5,72.9,74,72.9
Azerbaijan,,47.3,45.7,48.2,45.7,42.2,46.8,49.1,54.8,52.5,51.5,53,51.5,51.7,51.6
Burundi,,,,35.6,37.9,,37.1,,,29,,,,37.8,37.8
Belgium,72.6,,72.2,71.2,,68.5,71.1,69.4,71,68.6,69,69.5,69.3,68.9,68.6
Benin,,33.3,,36.7,,,38.7,31.9,34.8,33.5,36.2,40.1,48.5,58.2,52.2
Burkina Faso,,38,40.2,38.5,,40.4,47.9,39.6,33.3,34.8,44.2,42.1,46.5,49.3,47.7
Bangladesh,,43.2,46.1,50.5,50.8,48.6,49.9,47.2,46.6,46.4,46.3,45.6,43.1,45,48.3
Bulgaria,,,38.4,,,39.1,38.8,42.2,39.9,44.4,48.7,48.4,51,51,51
Bahrain,,,,,57,59.4,48.2,50.3,66.9,61.7,60.1,61.7,62.3,,62.3
Bosnia and Herzegovina,,,49,,49.6,46.7,49.9,47.7,51.2,52.5,51.2,51.8,50.9,58.9,56.7
Belarus,,56.6,56.2,54.6,55.6,55.3,52.3,57.5,58.8,58.1,57.2,51.8,55.5,52.3,55.4
